1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
4.0,37.0,39,80,1,6,4.0,8.0,7.0,19,0,0,,,,,,,77.0,108.0,79.0,264,0,14,0.0,19.0,16.0,35,1,0,79.0,32.0,32.0,143,0,0,7.0,13.0,20.0,40,0,0,0.0,7.0,2.0,9,0,0,2.0,4.0,1.0,7,0,1,,,,0,0,0,3.0,2.0,6.0,11,0,0,,,,,,14,Lincoln
31.0,30.0,18,79,0,1,,,,0,0,0,,,,,,,,,1.0,1,0,0,,,1.0,1,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,,,14,Chase
,,1,1,0,0,,,,0,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Darius
4.0,12.0,8,24,0,0,0.0,1.0,2.0,3,0,0,,,,,,,1.0,1.0,1.0,3,0,0,1.0,6.0,5.0,12,0,0,0.0,5.0,13.0,18,0,0,,,1.0,1,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,2,0,0,,,,,,14,Ryan
3.0,9.0,7,19,0,1,,,,0,0,0,,,,,,,0.0,1.0,1.0,2,0,0,,,,1,0,0,0.0,9.0,11.0,20,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Christon
0.0,3.0,4,7,0,0,9.0,169.0,65.0,243,0,2,,,,,,,0.0,3.0,12.0,15,0,0,2.0,43.0,15.0,60,0,2,8.0,67.0,98.0,173,0,6,20.0,233.0,242.0,495,3,61,2.0,12.0,2.0,16,0,1,39.0,176.0,182.0,397,1,0,2.0,1.0,5.0,8,0,0,1.0,1.0,6.0,8,0,0,,,,,,14,Wills
3.0,4.0,9,16,0,0,18.0,149.0,135.0,302,0,10,,,,,,,2.0,3.0,3.0,8,0,0,21.0,55.0,48.0,124,0,1,7.0,19.0,11.0,37,0,2,2.0,10.0,7.0,19,0,1,1.0,6.0,6.0,13,0,0,22.0,87.0,96.0,205,2,16,47.0,150.0,212.0,409,3,47,111.0,590.0,333.0,1034,3,24,,,,,,14,Jason
13.0,45.0,20,78,0,0,2.0,3.0,2.0,7,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Kamil
19.0,68.0,36,123,0,2,,,,1,0,0,,,,,,,,,,9,0,0,,,2.0,2,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,,,14,Jake
3.0,21.0,10,34,0,0,,,,0,0,0,,,,,,,0.0,1.0,1.0,2,0,0,2.0,4.0,37.0,43,0,0,,,,1,0,0,4.0,1.0,0.0,5,0,0,,,,0,0,0,1.0,5.0,0.0,6,0,0,,,,1,0,0,,,,2,0,0,,,,,,14,Trent
2.0,2.0,3,7,0,0,1.0,1.0,1.0,3,0,0,,,,,,,,,,1,0,0,,,,0,0,0,,,2.0,2,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,,,14,Christian
16.0,5.0,7,28,0,1,5.0,24.0,7.0,36,0,0,,,,,,,19.0,16.0,20.0,55,0,0,57.0,249.0,135.0,441,0,35,23.0,60.0,36.0,119,0,3,109.0,106.0,86.0,301,0,1,0.0,2.0,1.0,3,0,0,0.0,1.0,1.0,2,0,0,,,10.0,10,0,0,,,,0,0,0,,,,,,14,David
74.0,78.0,41,193,0,1,15.0,55.0,33.0,103,2,0,,,,,,,6.0,43.0,13.0,62,0,1,18.0,52.0,30.0,100,0,0,2.0,26.0,16.0,44,0,2,107.0,331.0,147.0,585,12,14,2.0,8.0,4.0,14,0,0,7.0,12.0,12.0,31,0,1,12.0,184.0,39.0,235,0,1,2.0,9.0,8.0,19,0,0,,,,,,14,Chris
0.0,21.0,17.0,38,0,3,3.0,5.0,9.0,17,0,3,,,,,,,1.0,40.0,29.0,70,0,2,12.0,21.0,17.0,50,0,1,9.0,61.0,17.0,87,0,0,5.0,36.0,39.0,80,0,2,6.0,44.0,34.0,84,1,3,7.0,40.0,34.0,81,3,4,0.0,3.0,3.0,6,0,1,22.0,61.0,55.0,138,2,9,,,,,,13,Peter
5.0,31.0,14.0,50,0,0,,,,2,0,0,,,,,,,2.0,7.0,0.0,9,0,0,1.0,0.0,1.0,2,0,0,6.0,28.0,4.0,38,0,1,3.0,5.0,6.0,14,0,1,6.0,14.0,9.0,29,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Josiah
5.0,16.0,19.0,40,1,0,1.0,5.0,4.0,10,0,1,,,,,,,0.0,3.0,4.0,7,0,0,1.0,6.0,6.0,13,0,0,1.0,15.0,6.0,22,0,0,2.0,38.0,17.0,57,0,1,4.0,8.0,10.0,22,0,3,9.0,33.0,20.0,62,0,2,0.0,1.0,1.0,2,0,1,37.0,58.0,37.0,132,2,2,,,,,,13,Bryan
0.0,5.0,6.0,11,0,0,3.0,11.0,8.0,22,0,0,,,,,,,2.0,3.0,6.0,11,0,3,1.0,10.0,4.0,15,0,1,3.0,30.0,7.0,40,0,0,9.0,26.0,14.0,49,0,0,12.0,40.0,42.0,94,0,4,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Kenny
2.0,2.0,0.0,4,0,0,,,1.0,1,0,0,,,,,,,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,13,Rob
