1.0-Negative,1.0-Neutral,1.0-Positive,1.0-Total,1.0-choose,1.0-win,10.0-Negative,10.0-Neutral,10.0-Positive,10.0-Total,10.0-choose,10.0-win,11.0-Negative,11.0-Neutral,11.0-Positive,11.0-Total,11.0-choose,11.0-win,2.0-Negative,2.0-Neutral,2.0-Positive,2.0-Total,2.0-choose,2.0-win,3.0-Negative,3.0-Neutral,3.0-Positive,3.0-Total,3.0-choose,3.0-win,4.0-Negative,4.0-Neutral,4.0-Positive,4.0-Total,4.0-choose,4.0-win,5.0-Negative,5.0-Neutral,5.0-Positive,5.0-Total,5.0-choose,5.0-win,6.0-Negative,6.0-Neutral,6.0-Positive,6.0-Total,6.0-choose,6.0-win,7.0-Negative,7.0-Neutral,7.0-Positive,7.0-Total,7.0-choose,7.0-win,8.0-Negative,8.0-Neutral,8.0-Positive,8.0-Total,8.0-choose,8.0-win,9.0-Negative,9.0-Neutral,9.0-Positive,9.0-Total,9.0-choose,9.0-win,Age,ElimWeek,Hometown,Name,Occupation,Season,firstname
7.0,100.0,39.0,146,0,38,46.0,313.0,164.0,523,63,56,,,,,,,3.0,17.0,32.0,52,0,2,0.0,6.0,2.0,8,0,0,17.0,61.0,73.0,151,0,1,41.0,230.0,380.0,651,1,9,49.0,74.0,79.0,202,0,5,140.0,306.0,310.0,756,5,24,130.0,613.0,447.0,1190,4,40,429.0,700.0,1069.0,2198,11,33,27.0,10.0,"St. Augustine, Florida",Robby Hayes,Former Competitive Swimmer,12,Robby
37.0,22.0,20.0,79,0,1,249.0,173.0,246.0,668,1,7,,,,,,,6.0,24.0,42.0,72,0,3,2.0,14.0,14.0,30,1,1,6.0,60.0,43.0,109,6,4,13.0,39.0,104.0,156,3,5,117.0,213.0,251.0,581,1,27,67.0,146.0,134.0,347,3,7,130.0,351.0,429.0,910,10,66,1043.0,1511.0,2215.0,4769,6,165,27.0,9.0,"Castle Rock, Colorado",Chase McNary,Medical Sales Rep,12,Chase
35.0,425.0,536.0,996,6,67,155.0,435.0,623.0,1213,5,16,,,,,,,36.0,102.0,118.0,256,1,9,1.0,4.0,7.0,12,1,0,81.0,505.0,493.0,1079,5,172,34.0,119.0,90.0,243,0,10,69.0,306.0,211.0,586,4,25,46.0,300.0,264.0,610,12,21,381.0,1346.0,1233.0,2960,34,298,627.0,1535.0,1424.0,3586,17,47,31.0,8.0,"Burnet, Texas",Luke Pell,War Veteran,12,Luke
39.0,204.0,178.0,421,1,20,4.0,16.0,31.0,51,0,0,,,,,,,28.0,121.0,140.0,289,1,3,15.0,51.0,64.0,130,0,1,29.0,188.0,137.0,354,3,9,31.0,90.0,67.0,188,1,7,270.0,375.0,456.0,1101,5,52,218.0,417.0,458.0,1093,3,19,3.0,11.0,4.0,18,0,0,3.0,11.0,11.0,25,0,0,29.0,7.0,"Katy, Texas",James Taylor,Singer-Songwriter,12,James
49.0,182.0,124.0,355,0,23,68.0,39.0,42.0,149,0,0,,,,,,,49.0,117.0,107.0,273,3,8,4.0,33.0,71.0,108,0,1,230.0,359.0,298.0,887,7,10,281.0,569.0,520.0,1370,1,20,170.0,313.0,278.0,761,3,44,223.0,376.0,540.0,1139,3,27,3.0,12.0,21.0,36,0,1,2.0,7.0,10.0,19,0,1,25.0,7.0,"Oceanside, California",Alex Woytkiw,U.S. Marine,12,Alex
6.0,96.0,40.0,142,0,2,20.0,17.0,14.0,51,0,0,,,,,,,46.0,181.0,143.0,370,0,8,2.0,5.0,7.0,14,0,0,13.0,94.0,68.0,175,0,8,107.0,181.0,209.0,497,0,5,270.0,348.0,341.0,959,6,23,6.0,3.0,19.0,28,0,0,1.0,8.0,3.0,12,0,0,8.0,5.0,4.0,17,0,0,29.0,6.0,"Waverly, Iowa",Derek Peth,Commercial Banker,12,Derek
25.0,126.0,159.0,310,0,10,7.0,68.0,64.0,139,0,0,,,,,,,34.0,177.0,143.0,354,1,13,2.0,8.0,7.0,17,0,0,7.0,51.0,38.0,96,1,4,42.0,81.0,177.0,300,1,6,258.0,456.0,548.0,1262,0,23,5.0,11.0,46.0,62,0,4,5.0,14.0,8.0,27,0,1,7.0,22.0,25.0,54,0,1,31.0,6.0,"Monterey, California",Wells Adams,Radio DJ,12,Wells
36.0,69.0,41.0,146,0,3,22.0,53.0,35.0,110,0,3,,,,,,,11.0,94.0,27.0,132,0,0,49.0,77.0,84.0,210,3,3,363.0,433.0,369.0,1165,2,32,309.0,495.0,648.0,1452,2,9,16.0,23.0,14.0,53,0,0,0.0,6.0,9.0,15,0,1,1.0,6.0,7.0,14,0,4,4.0,6.0,90.0,100,0,0,33.0,5.0,"Hartford, Connecticut",Evan Bass,Erectile Dysfunction Specialist,12,Evan
9.0,49.0,72.0,130,1,3,1.0,36.0,4.0,41,0,0,,,,,,,17.0,53.0,57.0,127,0,21,7.0,2.0,15.0,24,0,0,10.0,38.0,28.0,76,0,2,17.0,68.0,36.0,121,0,2,0.0,2.0,2.0,4,0,0,0.0,1.0,2.0,3,0,1,,,,1,0,0,,,,1,0,1,27.0,5.0,"San Francisco, California",Grant Kemp,Firefighter,12,Grant
,,,0,0,0,,,,0,0,0,,,,,,,,,4.0,4,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,28.0,5.0,"Kings Park, New York","Vincent ""Vinny"" Ventiera",Barber,12,Vincent
236.0,515.0,408.0,1159,6,23,1.0,10.0,16.0,27,0,0,,,,,,,28.0,103.0,85.0,216,1,5,20.0,28.0,20.0,68,0,0,13.0,39.0,43.0,95,0,1,70.0,113.0,90.0,273,0,3,0.0,2.0,5.0,7,0,0,2.0,0.0,11.0,13,0,0,42.0,6.0,0.0,48,0,0,10.0,2.0,0.0,12,0,0,31.0,4.0,"Lions Bay, British Columbia",Daniel Maguire,Male Model,12,Daniel
39.0,204.0,178.0,421,1,20,4.0,16.0,31.0,51,0,0,,,,,,,28.0,121.0,140.0,289,1,3,15.0,51.0,64.0,130,0,1,29.0,188.0,137.0,354,3,9,31.0,90.0,67.0,188,1,7,270.0,375.0,456.0,1101,5,52,218.0,417.0,458.0,1093,3,19,3.0,11.0,4.0,18,0,0,3.0,11.0,11.0,25,0,0,34.0,4.0,"Franklin, Tennessee",James Fuertes,Boxing Club Owner,12,James
232.0,322.0,358.0,912,3,23,113.0,498.0,408.0,1019,13,7,,,,,,,835.0,1705.0,1443.0,3983,3,76,165.0,404.0,272.0,841,2,11,1611.0,2657.0,1836.0,6104,12,98,472.0,1092.0,1122.0,2686,0,21,123.0,360.0,285.0,768,0,6,24.0,47.0,48.0,119,0,6,33.0,159.0,48.0,240,1,0,55.0,111.0,129.0,295,0,3,28.0,4.0,"Jenks, Oklahoma",Chad Johnson,Luxury Real Estate Agent,12,Chad
25.0,142.0,115.0,282,1,4,3.0,4.0,9.0,16,0,0,,,,,,,3.0,20.0,12.0,35,0,0,3.0,4.0,4.0,11,0,0,11.0,109.0,54.0,174,0,0,7.0,35.0,23.0,65,0,0,1.0,40.0,17.0,58,0,0,4.0,8.0,17.0,29,0,0,2.0,6.0,27.0,35,0,0,8.0,5.0,13.0,26,0,1,27.0,3.0,"Santa Monica, California",Ali Zahiri,Bartender,12,Ali
4.0,82.0,66.0,152,0,2,,,,1,0,0,,,,,,,34.0,9.0,7.0,50,0,2,,,,0,0,0,2.0,19.0,9.0,30,0,0,,,,0,0,0,1.0,0.0,2.0,3,0,0,1.0,1.0,0.0,2,0,0,,,,0,0,0,1.0,0.0,3.0,4,0,0,26.0,3.0,"Los Angeles, California",Christian Bishop,Telecom Consultant,12,Christian
9.0,62.0,47.0,118,0,0,11.0,25.0,43.0,79,0,0,,,,,,,6.0,74.0,14.0,94,0,1,,,2.0,2,0,0,15.0,26.0,22.0,63,0,0,5.0,12.0,4.0,21,0,0,2.0,12.0,7.0,21,0,0,0.0,11.0,17.0,28,0,0,2.0,6.0,4.0,12,0,1,4.0,4.0,36.0,44,0,0,33.0,3.0,"Carthage, Illinois",Nick Benvenutti,Electrical Engineer,12,Nick
11.0,31.0,17.0,59,0,0,0.0,1.0,2.0,3,0,0,,,,,,,0.0,10.0,6.0,16,0,6,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,28.0,2.0,"Marysville, Washington",Brandon Howell,Hipster,12,Brandon
39.0,204.0,178.0,421,1,20,4.0,16.0,31.0,51,0,0,,,,,,,28.0,121.0,140.0,289,1,3,15.0,51.0,64.0,130,0,1,29.0,188.0,137.0,354,3,9,31.0,90.0,67.0,188,1,7,270.0,375.0,456.0,1101,5,52,218.0,417.0,458.0,1093,3,19,3.0,11.0,4.0,18,0,0,3.0,11.0,11.0,25,0,0,27.0,2.0,"Phoenix, Arizona",James Spadafore,Bachelor Superfan,12,James
30.0,98.0,72.0,200,0,22,5.0,48.0,16.0,69,0,0,,,,,,,4.0,12.0,6.0,22,0,0,1.0,3.0,6.0,10,0,0,7.0,32.0,105.0,144,0,0,10.0,34.0,19.0,63,0,1,2.0,14.0,18.0,34,0,0,2.0,7.0,16.0,25,0,0,5.0,20.0,10.0,35,0,3,1.0,15.0,17.0,33,0,0,26.0,2.0,"Jersey City, New Jersey",Will Haduch,Civil Engineer,12,Will
1.0,15.0,4.0,20,0,0,,,,1,0,0,,,,,,,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,27.0,1.0,"Chicago, Illinois",Coley Knust,Real Estate Consultant,12,Coley
93.0,376.0,179.0,648,1,22,,,,0,0,0,,,,,,,4.0,1.0,0.0,5,0,0,,,,0,0,0,,,,2,0,0,,,,2,0,0,,,,1,0,0,1.0,1.0,0.0,2,0,0,5.0,2.0,0.0,7,0,0,,,3.0,3,0,0,26.0,1.0,"Playa Vista, California",Jake Patton,Landscape Architect,12,Jake
4.0,7.0,21.0,32,0,1,1.0,3.0,1.0,5,0,0,,,,,,,,,,0,0,0,,,,0,0,0,,,,2,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,29.0,1.0,"Vancouver, British Columbia",Jonathan Hamilton,Technical Sales Rep,12,Jonathan
9.0,62.0,47.0,118,0,0,11.0,25.0,43.0,79,0,0,,,,,,,6.0,74.0,14.0,94,0,1,,,2.0,2,0,0,15.0,26.0,22.0,63,0,0,5.0,12.0,4.0,21,0,0,2.0,12.0,7.0,21,0,0,0.0,11.0,17.0,28,0,0,2.0,6.0,4.0,12,0,1,4.0,4.0,36.0,44,0,0,26.0,1.0,"San Francisco, California",Nick Sharp,Software Salesman,12,Nick
3.0,32.0,19.0,54,0,0,1.0,0.0,9.0,10,0,0,,,,,,,3.0,5.0,2.0,10,0,0,,,,0,0,0,10.0,11.0,9.0,30,0,0,2.0,7.0,3.0,12,0,0,0.0,11.0,6.0,17,0,0,0.0,5.0,11.0,16,0,0,2.0,6.0,4.0,12,0,1,2.0,2.0,36.0,40,0,0,26.0,1.0,"Rockdale, Illinois",Peter Medina,Staffing Agency Manager,12,Peter
4.0,8.0,19.0,31,0,4,0.0,2.0,2.0,4,0,0,,,,,,,12.0,2.0,2.0,16,0,0,1.0,0.0,16.0,17,0,0,1.0,12.0,6.0,19,0,0,2.0,7.0,7.0,16,0,1,2.0,4.0,2.0,8,0,1,2.0,3.0,1.0,6,0,0,1.0,7.0,0.0,8,0,0,1.0,4.0,15.0,20,0,0,28.0,1.0,"Hubbard, Ohio",Sal DeJulio,Operations Manager,12,Sal
,,,0,0,0,205.0,378.0,421.0,1004,4,34,15.0,49.0,213.0,277.0,7.0,12.0,,,,0,0,0,,,,0,0,0,0.0,2.0,1.0,3,0,0,40.0,94.0,97.0,231,2,12,143.0,319.0,374.0,836,4,28,211.0,304.0,256.0,771,3,29,20.0,112.0,12.0,144,0,0,381.0,542.0,778.0,1701,8,46,28.0,,"Windsor Locks, Connecticut",Shawn Booth,Personal Trainer,11,Shawn
,,,0,0,0,292.0,502.0,523.0,1317,12,28,27.0,92.0,79.0,198.0,8.0,11.0,,,,0,0,0,,,,0,0,0,2.0,9.0,23.0,34,0,0,258.0,576.0,345.0,1179,1,17,179.0,339.0,314.0,832,0,17,417.0,602.0,509.0,1528,9,26,22.0,25.0,19.0,66,0,1,433.0,712.0,559.0,1704,12,37,34.0,9.0,"Waukesha, Wisconsin",Nick Viall,Software Sales Executive,11,Nick
,,,0,0,0,211.0,948.0,811.0,1970,14,17,105.0,427.0,515.0,1047.0,2.0,6.0,,,,0,0,0,,,,0,0,0,0.0,4.0,8.0,12,0,0,7.0,85.0,65.0,157,0,5,20.0,169.0,152.0,341,1,7,21.0,88.0,79.0,188,2,2,10.0,36.0,14.0,60,0,1,89.0,320.0,245.0,654,2,12,26.0,8.0,"Warsaw, Indiana",Ben Higgins,Software Salesman,11,Ben
,,,0,0,0,2.0,9.0,12.0,23,0,0,27.0,199.0,74.0,300.0,0.0,4.0,,,,0,0,0,,,,0,0,0,,,,6,0,5,47.0,50.0,103.0,200,0,4,7.0,24.0,15.0,46,0,1,23.0,39.0,56.0,118,2,2,0.0,11.0,4.0,15,0,0,348.0,313.0,427.0,1088,2,5,26.0,7.0,"Warwick, Rhode Island",Jared Haibon,Restaurant Manager,11,Jared
,,,0,0,0,0.0,2.0,4.0,6,0,0,2.0,4.0,12.0,18.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,1.0,13.0,18.0,32,0,0,6.0,13.0,8.0,27,0,0,2.0,18.0,9.0,29,0,0,3.0,1.0,2.0,6,0,0,67.0,145.0,96.0,308,0,8,28.0,7.0,"Glasgow, Kentucky",Joe Bailey,Insurance Agent,11,Joe
,,,0,0,0,13.0,41.0,63.0,117,1,1,18.0,69.0,42.0,129.0,2.0,2.0,,,,0,0,0,,,,0,0,0,0.0,16.0,4.0,20,1,1,12.0,122.0,78.0,212,0,2,12.0,19.0,17.0,48,0,1,26.0,58.0,53.0,137,2,1,7.0,14.0,22.0,43,0,1,16.0,36.0,178.0,230,1,2,28.0,7.0,"Granite Bay, California",Chris Strandburg,Dentist,11,Chris
,,,0,0,0,211.0,948.0,811.0,1970,14,17,105.0,427.0,515.0,1047.0,2.0,6.0,,,,0,0,0,,,,0,0,0,0.0,4.0,8.0,12,0,0,7.0,85.0,65.0,157,0,5,20.0,169.0,152.0,341,1,7,21.0,88.0,79.0,188,2,2,10.0,36.0,14.0,60,0,1,89.0,320.0,245.0,654,2,12,26.0,6.0,"Falls Church, Virginia",Ben Zorn,Fitness Coach,11,Ben
,,,0,0,0,,,,0,0,0,2.0,19.0,13.0,34.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,2.0,2,0,0,3.0,12.0,15.0,30,0,0,4.0,21.0,9.0,34,0,0,5.0,44.0,16.0,65,0,1,,,,4,0,0,,,,2,0,0,28.0,6.0,"Stilwell, Kansas",Tanner Tolbert,Auto Finance Manager,11,Tanner
,,,0,0,0,1.0,3.0,2.0,6,0,0,2.0,0.0,2.0,4.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,2.0,16.0,2.0,20,0,0,1.0,1.0,1.0,3,0,0,1.0,2.0,1.0,4,0,0,,,,1,0,0,,,,1,0,0,32.0,6.0,"Dacono, Colorado",J.J. Lane III,Former Investment Banker,11,J.J.
,,,0,0,0,,,,0,0,0,0.0,1.0,2.0,3.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,2.0,2,0,0,0.0,5.0,6.0,11,0,1,64.0,67.0,83.0,214,1,5,19.0,53.0,24.0,96,0,1,,,,0,0,0,0.0,1.0,1.0,2,0,0,31.0,5.0,"Kuna, Idaho",Joshua Albers,Industrial Welder,11,Joshua
,,,0,0,0,,,,1,0,0,0.0,1.0,1.0,2.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,4.0,21.0,16.0,41,0,0,4.0,13.0,3.0,20,0,0,2.0,10.0,10.0,22,0,0,,,,0,0,0,,,,4,0,0,28.0,5.0,"Elgin, Illinois",Justin Reich,Fitness Trainer,11,Justin
,,,0,0,0,11.0,14.0,5.0,30,0,0,65.0,128.0,96.0,289.0,0.0,6.0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,5.0,6.0,16.0,27,0,0,211.0,329.0,359.0,899,18,11,193.0,260.0,224.0,677,0,7,0.0,1.0,4.0,5,0,0,0.0,1.0,1.0,2,0,0,28.0,5.0,"Ramsey, New Jersey",Ian Thomson,Executive Recruiter,11,Ian
,,,0,0,0,,,4.0,4,0,0,97.0,199.0,76.0,372.0,0.0,3.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,3.0,9.0,4.0,16,0,0,1.0,3.0,2.0,6,0,0,,,1.0,1,0,0,,,,0,0,0,,,,1,0,0,30.0,4.0,"New York, New York",Corey Stansell (NY),Investment Banker,11,Corey
,,,0,0,0,,,,1,0,0,0.0,5.0,17.0,22.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,5.0,10.0,3.0,18,0,0,0.0,3.0,4.0,7,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,33.0,4.0,"Sylvan Lake, Michigan",Jonathan Holloway,Automotive Spokesman,11,Jonathan
,,,0,0,0,15.0,17.0,34.0,66,0,0,7.0,18.0,10.0,35.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,4.0,29.0,23.0,56,0,3,8.0,27.0,23.0,58,0,2,3.0,10.0,76.0,89,0,1,,,,0,0,0,11.0,19.0,53.0,83,0,5,32.0,4.0,"Wellington, Florida",Ryan Beckett,Realtor,11,Ryan
,,,0,0,0,0.0,6.0,4.0,10,0,0,25.0,57.0,70.0,152.0,1.0,1.0,,,,0,0,0,,,,0,0,0,0.0,10.0,6.0,16,0,0,87.0,128.0,120.0,335,0,15,2.0,16.0,7.0,25,0,0,0.0,7.0,12.0,19,0,1,0.0,4.0,1.0,5,0,0,2.0,7.0,18.0,27,0,0,27.0,3.0,"Batavia, Illinois",Clint Arlis,Architectural Engineer,11,Clint
,,,0,0,0,1.0,1.0,1.0,3,0,0,4.0,7.0,4.0,15.0,0.0,0.0,,,,0,0,0,,,,0,0,0,1.0,3.0,2.0,6,0,0,3.0,8.0,10.0,21,0,0,0.0,5.0,4.0,9,0,0,1.0,0.0,2.0,3,0,0,,,,0,0,0,0.0,2.0,1.0,3,0,0,35.0,3.0,"St. Louis, Missouri",Tony Harris,Healer,11,Tony
,,,0,0,0,,,2.0,2,0,0,2.0,3.0,0.0,5.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,35.0,2.0,"Seven Springs, North Carolina",Cory Shivar (NC),Residential Developer,11,Cory
,,,0,0,0,1.0,0.0,1.0,2,0,0,,,,1.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,0.0,1.0,2.0,3,0,0,1.0,2.0,0.0,3,0,0,,,,0,0,0,1.0,1.0,0.0,2,0,0,28.0,2.0,"Nashville, Tennessee",Daniel Finney,Fashion Designer,11,Daniel
,,,0,0,0,,,,0,0,0,8.0,26.0,15.0,49.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,1,0,0,,,,0,0,0,0.0,1.0,3.0,4,0,0,0.0,1.0,1.0,2,0,0,,,,0,0,0,,,,1,0,0,32.0,2.0,"Boston, Massachusetts",Kupah James,Entrepreneur,11,Kupah
,,,0,0,0,,,,0,0,0,,,,0.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,1.0,1.0,0.0,2,0,1,,,1.0,1,0,0,,,,0,0,0,,,,0,0,0,,,,0,0,0,25.0,1.0,"Duluth, Georgia",Bradley Cox,International Auto Shipper,11,Bradley
,,,0,0,0,0.0,1.0,2.0,3,0,0,,,,0.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,,0,0,0,,,,1,0,0,0.0,1.0,1.0,2,0,0,,,,0,0,0,,,,0,0,0,1.0,7.0,0.0,8,0,0,28.0,1.0,"Orlando, Florida",David,Real Estate Agent,11,David
,,,0,0,0,3.0,12.0,1.0,16,0,0,0.0,4.0,5.0,9.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,2.0,2,0,0,0.0,14.0,26.0,40,0,1,96.0,114.0,170.0,380,1,6,33.0,69.0,40.0,142,0,2,,,,0,0,0,1.0,3.0,5.0,9,0,0,27.0,1.0,"Chicago, Illinois",Josh Seiter,Law Student/Exotic Dancer,11,Josh
,,,0,0,0,205.0,378.0,421.0,1004,4,34,15.0,49.0,213.0,277.0,7.0,12.0,,,,0,0,0,,,,0,0,0,0.0,2.0,1.0,3,0,0,40.0,94.0,97.0,231,2,12,143.0,319.0,374.0,836,4,28,211.0,304.0,256.0,771,3,29,20.0,112.0,12.0,144,0,0,381.0,542.0,778.0,1701,8,46,31.0,1.0,"London, Ontario",Shawn Evans,Amateur Sex Coach,11,Shawn
,,,0,0,0,12.0,38.0,20.0,70,0,3,2.0,13.0,13.0,28.0,0.0,1.0,,,,0,0,0,,,,0,0,0,0.0,5.0,3.0,8,0,0,10.0,33.0,35.0,78,0,0,0.0,8.0,8.0,16,0,1,4.0,35.0,15.0,54,0,0,,,,1,0,0,8.0,20.0,10.0,38,0,0,33.0,1.0,"Wauseon, Ohio",Brady Toops,Singer/Songwriter,11,Brady
,,,0,0,0,15.0,17.0,34.0,66,0,0,7.0,18.0,10.0,35.0,0.0,0.0,,,,0,0,0,,,,0,0,0,,,1.0,1,0,0,4.0,29.0,23.0,56,0,3,8.0,27.0,23.0,58,0,2,3.0,10.0,76.0,89,0,1,,,,0,0,0,11.0,19.0,53.0,83,0,5,28.0,1.0,"Kansas City, Missouri",Ryan McDill,Junkyard Specialist,11,Ryan
