,SEASON,CONTESTANT,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
38,2,Frances,Strategic Planning Analyst,,,4,San Francisco,0,1,CA,W,0,-2.0,3.3999999999999986,1.3999999999999986,0,2.0,0
39,2,Anindita,Attorney,,,4,New York,0,1,NY,N,0,1.0,0.3999999999999986,1.3999999999999986,2,2.0,0
40,2,Amber,Psychologist,,,4,Chapel Hill,0,1,NC,S,0,2.0,-0.6000000000000014,1.3999999999999986,2,1.0,0
41,2,Camille,Actress,,,4,Los Angeles,0,1,CA,W,0,-1.0,2.3999999999999986,1.3999999999999986,0,1.0,0
42,2,Cari,3rd Grade Teacher,,,4,Granite City,0,1,IL,M,1,-1.0,2.3999999999999986,1.3999999999999986,0,1.0,0
43,2,Christy,Radiological Technologist,,,4,Avondale,0,1,AZ,W,0,4.0,-2.6000000000000014,1.3999999999999986,2,1.0,0
44,2,Erin,Interior Designer,,,4,Houston,0,1,TX,S,0,4.0,-2.6000000000000014,1.3999999999999986,2,1.0,0
45,2,Fatima,College Student,,,4,Long Beach,0,1,CA,W,0,6.0,-4.600000000000001,1.3999999999999986,2,1.0,0
46,2,Liangy,Paralegal,,,4,Coral Gables,0,1,FL,S,0,-2.0,3.3999999999999986,1.3999999999999986,0,1.0,0
47,2,Lori,Former NBA Cheerleader,,,4,Dallas,0,1,TX,S,0,2.0,-0.6000000000000014,1.3999999999999986,2,1.0,0
48,2,Merrilee,1st Grade Teacher,,,4,Forked River,0,1,NJ,N,0,0.0,1.3999999999999986,1.3999999999999986,1,1.0,0
49,2,Suzi,Communications Specialist,,,4,Richmond,0,1,VA,S,0,0.0,1.3999999999999986,1.3999999999999986,1,1.0,0
50,5,Jessica Bowlin,Student,,,4,Huntington Beach,0,1,CA,W,0,12.0,-3.039999999999999,8.96,2,,1
51,5,Tara Huckeby,General contractor,,,4,Shawnee,0,1,OK,S,0,11.0,-2.039999999999999,8.96,2,7.0,0
52,5,Mandy Jaye Jeffreys,Designer for an architect firm,,,4,Midland,0,1,TX,S,0,8.0,0.9600000000000009,8.96,2,6.0,0
53,5,Trish Schneider,Model,,,4,Atlanta,0,1,GA,S,0,6.0,2.960000000000001,8.96,2,5.0,0
54,5,Suzie Williams,Prosthetic technician,,,4,Ann Arbor,0,1,MI,W,0,11.0,-2.039999999999999,8.96,2,4.0,0
55,5,Karen Lindsay,Pharmaceutical sales,,,4,Pleasant Grove,0,1,UT,W,0,6.0,2.960000000000001,8.96,2,4.0,0
56,5,Jessica Holcomb,Attorney,,,4,Pearsall,0,1,TX,S,0,9.0,-0.03999999999999915,8.96,2,3.0,0
57,5,Julie Durda,Professional Cheerleader,,,4,Sacramento,0,1,CA,W,0,10.0,-1.0399999999999991,8.96,2,3.0,0
58,5,Jenny De Schiralli,Swim instructor/nanny/personal trainer,,,4,Carrboro,0,1,NC,S,0,8.0,0.9600000000000009,8.96,2,3.0,0
59,5,Katie Gehart,LASIK Eye and Skin Center manager,,,4,Scottsdale,0,1,AZ,W,0,12.0,-3.039999999999999,8.96,2,3.0,0
60,5,Jean-Marie Callahan,Hair stylist,,,4,Gibson,0,1,NC,S,0,8.0,0.9600000000000009,8.96,2,2.0,0
