,SEASON,TYPE,VALUE,CONTESTANT_y,CONTESTANT_JOB,CONTESTANT_HEIGHT,HEIGHT_DIFF,HEIGHT_BIN,CONTESTANT_HOMETOWN_CITY,SAME_CITY,SAME_STATE,CONTESTANT_HOMETOWN_STATE,CONTESTANT_REGION,SAME_REGION,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_BACH_POOL,AGE_DIFF_CAT,CONTESTANT_ELIMWEEK,WINNER
38,21,DATES-9,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
39,21,DATES-10,,Danielle L.,Small Business Owner,65.0,9.0,2,Los Angeles,0,1,CA,W,0,9.0,-1.0,8.0,2,6.0,0
40,21,ELIMINATION-1,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
41,21,ELIMINATION-2,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
42,21,ELIMINATION-3,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
43,21,ELIMINATION-4,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
44,21,ELIMINATION-5,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
45,21,ELIMINATION-6,ED,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
46,21,ELIMINATION-7,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
47,21,ELIMINATION-8,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
48,21,ELIMINATION-9,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
49,21,ELIMINATION-10,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
50,21,DATES-1,,Jasmine G.,Pro Basketball Dancer,67.0,7.0,2,San Francisco,0,1,CA,W,0,7.0,1.0,8.0,2,6.0,0
