,BACHELORETTE,BACHELORETTE_AGE,BACHELORETTE_JOB,SEASON,BACHELORETTE_HOMETOWN_CITY,BACHELORETTE_HOMETOWN_STATE,CONTESTANT,CONTESTANT_AGE,CONTESTANT_JOB,CONTESTANT_ELIMWEEK,CONTESTANT_HOMETOWN_CITY,CONTESTANT_HOMETOWN_STATE
256,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Jordan Rodgers,27,Former Pro Quarterback,,Chico,CA
257,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Robby Hayes,27,Former Competitive Swimmer,10.0,St. Augustine,FL
258,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Chase McNary,27,Medical Sales Rep,9.0,Castle Rock,CO
259,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Luke Pell,31,War Veteran,8.0,Burnet,TX
260,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,James Taylor,29,Singer-Songwriter,7.0,Katy,TX
261,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Alex Woytkiw,25,U.S. Marine,7.0,Oceanside,CA
262,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Derek Peth,29,Commercial Banker,6.0,Waverly,IA
263,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Wells Adams,31,Radio DJ,6.0,Monterey,CA
264,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Evan Bass,33,Erectile Dysfunction Specialist,5.0,Hartford,CT
265,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Grant Kemp,27,Firefighter,5.0,San Francisco,CA
266,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,"Vincent ""Vinny"" Ventiera",28,Barber,5.0,Kings Park,NY
267,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Daniel Maguire,31,Male Model,4.0,Lions Bay,British Columbia
268,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,James Fuertes,34,Boxing Club Owner,4.0,Franklin,TN
269,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Chad Johnson,28,Luxury Real Estate Agent,4.0,Jenks,OK
270,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Ali Zahiri,27,Bartender,3.0,Santa Monica,CA
271,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Christian Bishop,26,Telecom Consultant,3.0,Los Angeles,CA
272,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Nick Benvenutti,33,Electrical Engineer,3.0,Carthage,IL
273,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Brandon Howell,28,Hipster,2.0,Marysville,WA
274,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,James Spadafore,27,Bachelor Superfan,2.0,Phoenix,AZ
275,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Will Haduch,26,Civil Engineer,2.0,Jersey City,NJ
276,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Coley Knust,27,Real Estate Consultant,1.0,Chicago,IL
277,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Jake Patton,26,Landscape Architect,1.0,Playa Vista,CA
278,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Jonathan Hamilton,29,Technical Sales Rep,1.0,Vancouver,British Columbia
279,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Nick Sharp,26,Software Salesman,1.0,San Francisco,CA
280,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Peter Medina,26,Staffing Agency Manager,1.0,Rockdale,IL
281,"Joelle ""JoJo"" Fletcher",25.0,Real Estate Developer,12,Dallas,TX,Sal DeJulio,28,Operations Manager,1.0,Hubbard,OH
