Column1,SHOW,SEASON,ETTE_NAME,CONTESTANT,NAME,AGE,ELIMINATION-1,ELIMINATION-2,ELIMINATION-3,ELIMINATION-4,ELIMINATION-5,ELIMINATION-6,ELIMINATION-7,ELIMINATION-8,ELIMINATION-9,ELIMINATION-10,DATES-1,DATES-2,DATES-3,DATES-4,DATES-5,DATES-6,DATES-7,DATES-8,DATES-9,DATES-10,FIR-1,FIR-2,FIR-3,FIR-4,FIR-5,FIR-6,FIR-7,FIR-8,FIR-9,FIR-10,ROSE-1,ROSE-2,ROSE-3,ROSE-4,ROSE-5,ROSE-6,ROSE-7,ROSE-8,ROSE-9,ROSE-10,AGE_DIFF,AGE_DIFF_MEAN_POOL,AGE_DIFF_CAT,SAME_CITY,SAME_STATE,SAME_REGION,SAME_OCCUPATIONGROUP,WINNER
165,Bachelorette,5,Jillian Harris,05_BRAD_S,Brad Seberhagen,27,,,E,,,,,,,,0,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.533333333,2,0,0,0,0,0
166,Bachelorette,5,Jillian Harris,05_TANNER_F,Tanner Fanello,28,,,E,,,,,,,,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.533333333,2,0,0,0,0,0
167,Bachelorette,5,Jillian Harris,05_SASHA_P,Sasha Petrovic,27,,,ED,,,,,,,,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.533333333,2,0,0,0,0,0
168,Bachelorette,5,Jillian Harris,05_BRIAN_D,Brian Duke,32,,E,,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3.466666667,0,0,0,0,0,0
169,Bachelorette,5,Jillian Harris,05_JULIEN_H,Julien Hug,34,,E,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5.466666667,0,0,0,0,0,0
170,Bachelorette,5,Jillian Harris,05_MATHUE_J,Mathue Johnson,25,,E,,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3.533333333,2,0,0,0,0,0
171,Bachelorette,5,Jillian Harris,05_SIMON_A,Simon Ambrose,26,,E,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.533333333,2,0,0,0,0,0
172,Bachelorette,5,Jillian Harris,05_ADAM_D,Adam Duvendeck,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.533333333,2,0,0,0,0,0
173,Bachelorette,5,Jillian Harris,05_BRIAN_V,Brian Vaderman,28,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.533333333,2,0,0,0,0,0
174,Bachelorette,5,Jillian Harris,05_BRYCE_H,Bryce Harlow,31,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.466666667,0,0,0,0,0,0
175,Bachelorette,5,Jillian Harris,05_CALEB_K,Caleb Kuhl,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.533333333,2,0,0,0,1,0
176,Bachelorette,5,Jillian Harris,05_GREG_B,Greg Bilbro,31,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.466666667,0,0,0,0,0,0
177,Bachelorette,5,Jillian Harris,05_JOHN_H,John Hardesty,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1.533333333,2,0,0,0,0,0
178,Bachelorette,5,Jillian Harris,05_JOHN_P,John Presser,29,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,1,0,0,0,0,0
179,Bachelorette,5,Jillian Harris,05_JOSH_Y,Josh Yocam,25,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-3.533333333,2,0,0,0,0,0
180,Bachelorette,5,Jillian Harris,05_KYLE_Y,Kyle Yauch,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.533333333,2,0,0,0,1,0
181,Bachelorette,5,Jillian Harris,05_STEPHEN_R,Stephen Reich,30,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1.466666667,0,0,0,0,0,0
182,Bachelorette,4,DeAnna Pappas,04_JESSE_C,Jesse Csincsak,26,R1,,,R,,,,W,,,0,7,10,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,-3.36,4,0,0,0,0,1
183,Bachelorette,4,DeAnna Pappas,04_JASON_M,Jason Mesnick,31,,,R,,,,,E,,,0,7,1,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1.64,4,0,0,0,0,0
184,Bachelorette,4,DeAnna Pappas,04_JEREMY_A,Jeremy Anderson,30,R1,R,,,,,E,,,,0,7,10,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0.64,4,0,0,0,0,0
185,Bachelorette,4,DeAnna Pappas,04_GRAHAM_B,Graham Bunn,29,,R,,,,E,,,,,0,1,10,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,-0.36,4,0,0,0,0,0
186,Bachelorette,4,DeAnna Pappas,04_SEAN_R,Sean Ramey,33,,,,R,E,,,,,,0,7,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3.64,4,0,0,0,0,0
187,Bachelorette,4,DeAnna Pappas,04_BLAINE_T,Blaine Twilley,33,,,,,E,,,,,,0,7,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3.64,4,0,0,0,0,0
188,Bachelorette,4,DeAnna Pappas,04_FREDERICK_G,"Frederick ""Fred"" Greif",30,,,R,ED,,,,,,,0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.64,4,0,0,0,0,0
189,Bachelorette,4,DeAnna Pappas,04_ROBERT_F,Robert Fair,28,,,R,ED,,,,,,,0,7,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,-1.36,4,0,0,0,0,0
190,Bachelorette,4,DeAnna Pappas,04_PAUL_B,Paul Brosseau,23,,R,E,,,,,,,,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,-6.36,4,0,0,0,0,0
191,Bachelorette,4,DeAnna Pappas,04_RONALD_M,Ronald Mayer,36,,,E,,,,,,,,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,6.64,4,0,0,0,0,0
192,Bachelorette,4,DeAnna Pappas,04_RICHARD_M,Richard Mathy,27,R1,,ED,,,,,,,,0,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-2.36,4,0,0,0,0,0
193,Bachelorette,4,DeAnna Pappas,04_CHRISTOPHER_B,"Christopher ""Chris"" Bradshaw",29,,E,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-0.36,4,0,0,0,0,0
194,Bachelorette,4,DeAnna Pappas,04_ERIC_P,Eric Papachristos,32,,E,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2.64,4,0,0,0,0,0
195,Bachelorette,4,DeAnna Pappas,04_RYAN_H,Ryan Hoag,28,,E,,,,,,,,,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1.36,4,0,0,0,0,0
196,Bachelorette,4,DeAnna Pappas,04_BRIAN_W,Brian Winchester,29,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-0.36,4,0,0,0,0,0
197,Bachelorette,4,DeAnna Pappas,04_BRIAN_W,Brian Westendorf,31,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.64,4,0,0,0,0,0
198,Bachelorette,4,DeAnna Pappas,04_CHANDLER_F,Chandler Fulton,25,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-4.36,4,0,0,0,0,0
199,Bachelorette,4,DeAnna Pappas,04_DONATO_C,Donato Capodanno,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-3.36,4,0,0,0,0,0
200,Bachelorette,4,DeAnna Pappas,04_GREGORY_M,"Gregory ""Greg"" Matthew",28,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1.36,4,0,0,0,0,0
201,Bachelorette,4,DeAnna Pappas,04_JEFFREY_H,Jeffrey Harris,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-2.36,4,0,0,0,0,0
202,Bachelorette,4,DeAnna Pappas,04_JONATHAN_K,"Jonathan ""Jon"" Konkel",35,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5.64,4,0,0,0,0,0
203,Bachelorette,4,DeAnna Pappas,04_LUKE_H,Luke Hamilton,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-2.36,4,0,0,0,0,0
204,Bachelorette,4,DeAnna Pappas,04_PATRICK_C,Patrick Carlson,26,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-3.36,4,0,0,0,0,0
205,Bachelorette,4,DeAnna Pappas,04_PATRICK_D,Patrick Durrere,27,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-2.36,4,0,0,0,0,0
206,Bachelorette,4,DeAnna Pappas,04_SPERO_S,Spero Stamboulis,38,E,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,8.64,4,0,0,0,0,0
